chr1	x1	x2	chr2	y1	y2	color	f1	f2	f3	f4	f5
1	211840000	212640000	1	211840000	212640000	255,255,0	1.079	0.093835	0.072147	0.70188	0.63938
1	235290000	235620000	1	235290000	235620000	255,255,0	1.703	0.11044	0.053078	0.84191	0.90809
1	206770000	207190000	1	206770000	207190000	255,255,0	0.95729	0.11336	0.049415	0.64399	0.64853
1	173370000	174200000	1	173370000	174200000	255,255,0	0.81073	0.084063	0.078217	0.55807	0.50116
1	168560000	169350000	1	168560000	169350000	255,255,0	1.2449	0.08828	0.073213	0.73526	0.78398
1	118690000	119440000	1	118690000	119440000	255,255,0	1.0349	0.092923	0.066881	0.78749	0.50094
1	100220000	100940000	1	100220000	100940000	255,255,0	1.3355	0.080669	0.076852	0.80787	0.76466
1	161440000	161720000	1	161440000	161720000	255,255,0	1.7706	0.08788	0.068439	0.84694	0.89286
1	234980000	235200000	1	234980000	235200000	255,255,0	1.0909	0.020677	0.1342	0.54545	0.69421
1	75250000	75670000	1	75250000	75670000	255,255,0	1.4335	0.083557	0.071096	0.78912	0.78458
1	201400000	202110000	1	201400000	202110000	255,255,0	0.93627	0.081673	0.072959	0.65317	0.60556
1	234620000	235200000	1	234620000	235200000	255,255,0	1.7177	0.063991	0.089324	0.90606	0.85612
1	89940000	90490000	1	89940000	90490000	255,255,0	1.5691	0.076238	0.076405	0.6918	0.88228
1	173380000	174060000	1	173380000	174060000	255,255,0	0.97098	0.076211	0.076398	0.64965	0.54585
1	157530000	158120000	1	157530000	158120000	255,255,0	0.77994	0.064577	0.08797	0.54828	0.54598
1	224690000	225540000	1	224690000	225540000	255,255,0	1.1192	0.074479	0.077589	0.62182	0.7392
1	241670000	242050000	1	241670000	242050000	255,255,0	1.6936	0.071614	0.08034	0.86427	0.79778
1	63370000	64020000	1	63370000	64020000	255,255,0	1.1804	0.078111	0.073254	0.57481	0.80398
1	75690000	76300000	1	75690000	76300000	255,255,0	1.6521	0.073129	0.078181	0.85914	0.83118
1	35240000	36270000	1	35240000	36270000	255,255,0	1.4708	0.070282	0.080647	0.89027	0.77036
1	7730000	8420000	1	7730000	8420000	255,255,0	0.95795	0.074778	0.076003	0.52185	0.63277
1	99630000	100190000	1	99630000	100190000	255,255,0	0.95918	0.080948	0.069344	0.51658	0.73342
1	145120000	145310000	1	145120000	145310000	255,255,0	1.0551	0.044621	0.10558	0.72222	0.63333
1	210580000	211320000	1	210580000	211320000	255,255,0	1.3704	0.080246	0.069189	0.77136	0.86603
1	158570000	159060000	1	158570000	159060000	255,255,0	1.4074	0.070864	0.078066	0.785	0.89167
1	201960000	202120000	1	201960000	202120000	255,255,0	1.0121	0.05428	0.094302	0.57812	0.67188
1	94480000	94930000	1	94480000	94930000	255,255,0	1.1007	0.078381	0.069795	0.77668	0.50791
1	65520000	66160000	1	65520000	66160000	255,255,0	1.2966	0.071863	0.07561	0.54785	0.87207
1	21540000	21700000	1	21540000	21700000	255,255,0	1.1483	0.094903	0.052199	0.67188	0.54688
1	69830000	70210000	1	69830000	70210000	255,255,0	0.99195	0.064453	0.082486	0.57064	0.63712
1	90540000	91020000	1	90540000	91020000	255,255,0	1.3471	0.080428	0.066476	0.83854	0.68576
1	110080000	110320000	1	110080000	110320000	255,255,0	0.69288	0.095002	0.050828	0.59028	0.50694
1	161160000	161390000	1	161160000	161390000	255,255,0	1.4769	0.053324	0.092194	0.79545	0.84091
1	31190000	31410000	1	31190000	31410000	255,255,0	1.4604	0.075057	0.068995	0.80992	0.7438
1	34100000	35220000	1	34100000	35220000	255,255,0	1.8391	0.075224	0.067384	0.91869	0.94547
1	154440000	155060000	1	154440000	155060000	255,255,0	1.343	0.067471	0.074714	0.72216	0.83871
1	45190000	45800000	1	45190000	45800000	255,255,0	1.4764	0.061356	0.080424	0.91935	0.6914
1	35240000	36030000	1	35240000	36030000	255,255,0	1.2238	0.061798	0.079848	0.89551	0.54679
1	24090000	24260000	1	24090000	24260000	255,255,0	1.0238	0.043314	0.098233	0.68056	0.56944
1	78010000	78590000	1	78010000	78590000	255,255,0	1.4795	0.057701	0.083576	0.69917	0.87515
1	39490000	40240000	1	39490000	40240000	255,255,0	0.80992	0.066836	0.073996	0.59104	0.50569
1	46060000	46720000	1	46060000	46720000	255,255,0	1.2967	0.061829	0.078956	0.69972	0.78604
1	225620000	226180000	1	225620000	226180000	255,255,0	1.4347	0.076328	0.06431	0.84821	0.74362
1	17950000	18920000	1	17950000	18920000	255,255,0	1.4914	0.07541	0.064211	0.82781	0.80995
1	16380000	16830000	1	16380000	16830000	255,255,0	1.0771	0.062065	0.077421	0.52372	0.79644
1	241020000	241640000	1	241020000	241640000	255,255,0	1.1374	0.062875	0.076484	0.4641	0.84287
1	181440000	182000000	1	181440000	182000000	255,255,0	1.5911	0.065141	0.073361	0.84311	0.84566
1	145380000	145600000	1	145380000	145600000	255,255,0	1.3411	0.096092	0.041929	0.82645	0.77686
1	110700000	111040000	1	110700000	111040000	255,255,0	1.3821	0.083645	0.054366	0.78201	0.87197
1	89440000	89920000	1	89440000	89920000	255,255,0	1.6883	0.065518	0.072342	0.90104	0.83854
1	93740000	94350000	1	93740000	94350000	255,255,0	1.3828	0.065188	0.072416	0.66989	0.87204
1	57300000	57860000	1	57300000	57860000	255,255,0	1.0016	0.079542	0.056713	0.73852	0.50893
1	6740000	7720000	1	6740000	7720000	255,255,0	1.4739	0.065474	0.070136	0.81966	0.79217
1	210020000	210550000	1	210020000	210550000	255,255,0	0.88449	0.061542	0.073475	0.71083	0.51994
1	117670000	118490000	1	117670000	118490000	255,255,0	1.1871	0.051931	0.082582	0.65913	0.81618
1	25550000	26150000	1	25550000	26150000	255,255,0	0.89626	0.066469	0.067832	0.51667	0.64111
1	213410000	214350000	1	213410000	214350000	255,255,0	1.392	0.069034	0.065256	0.81304	0.83748
1	62910000	63260000	1	62910000	63260000	255,255,0	1.4818	0.060531	0.073016	0.8268	0.80719
1	85410000	85750000	1	85410000	85750000	255,255,0	1.3857	0.065404	0.067299	0.65744	0.82353
1	157130000	157490000	1	157130000	157490000	255,255,0	1.3886	0.067679	0.064404	0.83025	0.8179
1	78010000	78420000	1	78010000	78420000	255,255,0	1.0665	0.04316	0.088286	0.79762	0.50238
1	196320000	196640000	1	196320000	196640000	255,255,0	1.222	0.051613	0.079409	0.65234	0.82422
1	70490000	70980000	1	70490000	70980000	255,255,0	1.2372	0.083404	0.047309	0.56417	0.855
1	166850000	167520000	1	166850000	167520000	255,255,0	0.8861	0.067906	0.062528	0.53209	0.64973
1	201450000	201800000	1	201450000	201800000	255,255,0	1.2848	0.08048	0.049579	0.74837	0.83333
1	152020000	152450000	1	152020000	152450000	255,255,0	1.1886	0.073251	0.056485	0.81169	0.68615
1	185690000	186240000	1	185690000	186240000	255,255,0	1.745	0.054494	0.075133	0.85317	0.90079
1	93310000	93480000	1	93310000	93480000	255,255,0	1.1763	0.073832	0.055771	0.70833	0.625
1	35400000	35910000	1	35400000	35910000	255,255,0	0.93371	0.07999	0.049408	0.66868	0.51876
1	114500000	115310000	1	114500000	115310000	255,255,0	0.83474	0.057689	0.071248	0.60915	0.53476
1	160650000	161130000	1	160650000	161130000	255,255,0	0.93672	0.049435	0.079476	0.63021	0.61285
1	37910000	38460000	1	37910000	38460000	255,255,0	1.0433	0.080928	0.047907	0.65212	0.68122
1	231470000	231750000	1	231470000	231750000	255,255,0	1.6406	0.06156	0.067171	0.86224	0.86224
1	17380000	17740000	1	17380000	17740000	255,255,0	1.3835	0.087893	0.040774	0.82235	0.76189
1	186380000	186970000	1	186380000	186970000	255,255,0	1.824	0.067983	0.060437	0.92989	0.87471
1	211680000	211850000	1	211680000	211850000	255,255,0	1.1808	0.038071	0.090348	0.70833	0.70833
1	43640000	44460000	1	43640000	44460000	255,255,0	0.88964	0.064899	0.063323	0.51874	0.62106
1	207260000	207700000	1	207260000	207700000	255,255,0	1.2223	0.041016	0.086869	0.91529	0.64256
1	229360000	229790000	1	229360000	229790000	255,255,0	0.80683	0.074393	0.052262	0.5	0.50284
1	59670000	60200000	1	59670000	60200000	255,255,0	1.2476	0.040119	0.086466	0.5114	0.90741
1	67210000	67690000	1	67210000	67690000	255,255,0	1.1963	0.068404	0.057947	0.80382	0.58507
1	53710000	53900000	1	53710000	53900000	255,255,0	1.2728	0.069333	0.056932	0.74444	0.72222
1	22420000	23290000	1	22420000	23290000	255,255,0	1.3068	0.064961	0.060797	0.7648	0.75529
1	26810000	27230000	1	26810000	27230000	255,255,0	1.5976	0.062602	0.062592	0.87075	0.83447
1	208830000	209370000	1	208830000	209370000	255,255,0	0.93054	0.061818	0.063298	0.65295	0.63649
1	157930000	158120000	1	157930000	158120000	255,255,0	1.1636	0.056451	0.068373	0.72222	0.72222
1	151380000	151840000	1	151380000	151840000	255,255,0	1.2942	0.049241	0.075461	0.80907	0.81664
1	100980000	101350000	1	100980000	101350000	255,255,0	1.633	0.067925	0.056448	0.87427	0.90936
1	202130000	202980000	1	202130000	202980000	255,255,0	1.1758	0.063491	0.060765	0.83666	0.67719
1	227640000	228170000	1	227640000	228170000	255,255,0	1.3405	0.054021	0.069713	0.85043	0.68803
1	207720000	207980000	1	207720000	207980000	255,255,0	0.79651	0.088828	0.034858	0.5572	0.60577
1	221650000	222210000	1	221650000	222210000	255,255,0	1.01	0.061394	0.059845	0.73597	0.52423
1	101370000	101760000	1	101370000	101760000	255,255,0	1.8662	0.052589	0.068435	0.93421	0.92895
1	64070000	64710000	1	64070000	64710000	255,255,0	1.5795	0.059896	0.060593	0.92285	0.80176
1	20210000	20840000	1	20210000	20840000	255,255,0	1.6406	0.066957	0.05328	0.82762	0.91028
1	176330000	176860000	1	176330000	176860000	255,255,0	1.3261	0.057725	0.062418	0.77635	0.7735
1	86830000	87170000	1	86830000	87170000	255,255,0	1.183	0.067027	0.052878	0.71972	0.65744
1	85090000	85220000	1	85090000	85220000	255,255,0	0.9095	0.038185	0.081653	0.5	0.5
1	199880000	200500000	1	199880000	200500000	255,255,0	1.2377	0.058784	0.060801	0.68887	0.87617
1	191960000	192300000	1	191960000	192300000	255,255,0	0.81862	0.040943	0.07816	0.50519	0.57439
1	900000	1240000	1	900000	1240000	255,255,0	1.3908	0.069798	0.049229	0.62976	0.87889
1	222630000	222910000	1	222630000	222910000	255,255,0	1.382	0.065241	0.053758	0.85204	0.71939
1	90260000	90480000	1	90260000	90480000	255,255,0	1.548	0.041708	0.077043	0.8095	0.80041
1	167030000	167520000	1	167030000	167520000	255,255,0	1.0615	0.063869	0.054138	0.66167	0.70833
1	22420000	22990000	1	22420000	22990000	255,255,0	1.2168	0.054951	0.062886	0.87069	0.50369
1	110320000	110560000	1	110320000	110560000	255,255,0	1.3576	0.053798	0.063538	0.80556	0.84028
1	78420000	78590000	1	78420000	78590000	255,255,0	1.2324	0.030809	0.086246	0.65278	0.70833
1	8950000	9640000	1	8950000	9640000	255,255,0	1.0558	0.054654	0.062318	0.58571	0.69496
1	85560000	85740000	1	85560000	85740000	255,255,0	1.2845	0.033851	0.082821	0.69136	0.74074
1	200550000	200810000	1	200550000	200810000	255,255,0	1.3576	0.064866	0.051393	0.87574	0.7574
1	36970000	37910000	1	36970000	37910000	255,255,0	1.8443	0.058573	0.05742	0.95247	0.93345
1	207730000	207880000	1	207730000	207880000	255,255,0	0.82393	0.072043	0.043304	0.58929	0.51786
1	41730000	41920000	1	41730000	41920000	255,255,0	1.1945	0.053376	0.061884	0.67778	0.7
1	46480000	46690000	1	46480000	46690000	255,255,0	1.2672	0.050647	0.064557	0.7	0.77273
1	201820000	202120000	1	201820000	202120000	255,255,0	1.1732	0.053789	0.061202	0.67556	0.8
1	44820000	45070000	1	44820000	45070000	255,255,0	1.3467	0.028618	0.086309	0.83974	0.80128
1	24980000	25170000	1	24980000	25170000	255,255,0	1.4085	0.054778	0.059647	0.76667	0.74444
1	31410000	32100000	1	31410000	32100000	255,255,0	0.99665	0.065657	0.048519	0.73866	0.5437
1	61940000	62350000	1	61940000	62350000	255,255,0	0.96523	0.057752	0.056228	0.53095	0.67857
1	12150000	12340000	1	12150000	12340000	255,255,0	1.1854	0.053059	0.060709	0.7	0.63333
1	77600000	77950000	1	77600000	77950000	255,255,0	0.9855	0.056018	0.057722	0.61111	0.63725
1	67810000	68000000	1	67810000	68000000	255,255,0	1.091	0.041797	0.071656	0.59596	0.69073
1	11080000	11710000	1	11080000	11710000	255,255,0	1.7627	0.043107	0.069997	0.92843	0.86593
1	16100000	16310000	1	16100000	16310000	255,255,0	1.3632	0.058186	0.054311	0.77273	0.68182
1	180980000	181150000	1	180980000	181150000	255,255,0	1.1539	0.022698	0.089738	0.56944	0.70833
1	162810000	163290000	1	162810000	163290000	255,255,0	1.7222	0.055528	0.056612	0.92882	0.93924
1	206640000	206790000	1	206640000	206790000	255,255,0	0.95073	0.073278	0.038603	0.625	0.625
1	16380000	16570000	1	16380000	16570000	255,255,0	1.0908	0.063184	0.048568	0.7	0.58889
1	158170000	158460000	1	158170000	158460000	255,255,0	1.0997	0.056432	0.055207	0.76667	0.69048
1	112000000	112320000	1	112000000	112320000	255,255,0	1.4924	0.05099	0.060171	0.87892	0.84338
1	8590000	8880000	1	8590000	8880000	255,255,0	0.90781	0.049694	0.061408	0.5	0.58571
1	68300000	68540000	1	68300000	68540000	255,255,0	1.4408	0.056066	0.054729	0.8125	0.82639
1	202130000	202300000	1	202130000	202300000	255,255,0	1.0342	0.073071	0.037285	0.70833	0.65278
1	235670000	236180000	1	235670000	236180000	255,255,0	1.5985	0.057292	0.052994	0.86615	0.87538
1	86830000	86980000	1	86830000	86980000	255,255,0	1.0876	0.074138	0.035933	0.625	0.625
1	27280000	28000000	1	27280000	28000000	255,255,0	1.1959	0.060882	0.049095	0.77238	0.67824
1	84380000	84610000	1	84380000	84610000	255,255,0	1.4346	0.064944	0.044809	0.82576	0.76515
1	182410000	182790000	1	182410000	182790000	255,255,0	1.3985	0.050306	0.059163	0.69252	0.83102
1	89930000	90250000	1	89930000	90250000	255,255,0	1.1936	0.061579	0.047742	0.78516	0.58203
1	245000000	245230000	1	245000000	245230000	255,255,0	1.61	0.052663	0.056321	0.81061	0.81061
1	65680000	66160000	1	65680000	66160000	255,255,0	1.4894	0.050204	0.058531	0.71701	0.9184
1	94500000	94800000	1	94500000	94800000	255,255,0	1.3188	0.062579	0.045881	0.86222	0.73778
1	61430000	61930000	1	61430000	61930000	255,255,0	1.576	0.068766	0.039572	0.90263	0.85122
1	55550000	55750000	1	55550000	55750000	255,255,0	1.2779	0.049269	0.058526	0.69	0.77
1	101200000	101340000	1	101200000	101340000	255,255,0	0.86032	0.012796	0.094864	0.53061	0.57143
1	47230000	47620000	1	47230000	47620000	255,255,0	1.5218	0.053516	0.053014	0.81842	0.90263
1	23850000	24000000	1	23850000	24000000	255,255,0	0.92024	0.053069	0.053402	0.58929	0.55357
1	53710000	54240000	1	53710000	54240000	255,255,0	1.011	0.063132	0.043126	0.59972	0.69943
1	222290000	222640000	1	222290000	222640000	255,255,0	1.0673	0.040112	0.065818	0.50208	0.79878
1	160380000	160610000	1	160380000	160610000	255,255,0	1.3864	0.057802	0.047859	0.82576	0.82576
1	172710000	173180000	1	172710000	173180000	255,255,0	1.6757	0.04889	0.056625	0.9221	0.87138
1	89100000	89360000	1	89100000	89360000	255,255,0	1.4627	0.049467	0.055951	0.7929	0.84024
1	1850000	2020000	1	1850000	2020000	255,255,0	1.1191	0.057003	0.048248	0.68056	0.56944
1	218440000	218730000	1	218440000	218730000	255,255,0	1.1508	0.071325	0.033804	0.83333	0.59524
1	180220000	180460000	1	180220000	180460000	255,255,0	1.5308	0.04975	0.054826	0.73755	0.85335
1	9320000	9550000	1	9320000	9550000	255,255,0	1.4606	0.045762	0.058789	0.81061	0.79545
1	165580000	165890000	1	165580000	165890000	255,255,0	1.4293	0.053516	0.050534	0.7375	0.8875
1	33570000	33970000	1	33570000	33970000	255,255,0	1.2492	0.039699	0.064314	0.6975	0.8175
1	197540000	197900000	1	197540000	197900000	255,255,0	1.3976	0.067797	0.036213	0.83025	0.83025
1	174720000	174980000	1	174720000	174980000	255,255,0	1.6502	0.052184	0.051789	0.85207	0.85207
1	67990000	68240000	1	67990000	68240000	255,255,0	1.6406	0.050772	0.053184	0.85256	0.83974
1	87220000	87560000	1	87220000	87560000	255,255,0	1.6538	0.055545	0.048297	0.78893	0.92734
1	228500000	228730000	1	228500000	228730000	255,255,0	1.1062	0.020658	0.083144	0.50758	0.7803
1	228290000	228750000	1	228290000	228750000	255,255,0	1.811	0.042597	0.060898	0.88469	0.91493
1	182050000	182390000	1	182050000	182390000	255,255,0	1.8604	0.052656	0.050643	0.92042	0.90657
1	43230000	43560000	1	43230000	43560000	255,255,0	1.4326	0.044962	0.05833	0.8125	0.83456
1	9670000	10500000	1	9670000	10500000	255,255,0	1.1646	0.051688	0.051378	0.79152	0.62079
1	114830000	115300000	1	114830000	115300000	255,255,0	0.79207	0.057933	0.045009	0.59964	0.50181
1	21010000	21540000	1	21010000	21540000	255,255,0	1.6028	0.058957	0.043957	0.84758	0.90741
1	95520000	95720000	1	95520000	95720000	255,255,0	1.3244	0.044367	0.058453	0.75	0.77
1	94090000	94310000	1	94090000	94310000	255,255,0	1.4469	0.039985	0.062813	0.77686	0.82645
1	197130000	197450000	1	197130000	197450000	255,255,0	0.71576	0.051504	0.051238	0.50391	0.50391
1	68580000	68850000	1	68580000	68850000	255,255,0	1.3443	0.047292	0.05532	0.7967	0.76374
1	116670000	117050000	1	116670000	117050000	255,255,0	1.4479	0.047335	0.054706	0.85319	0.89197
1	184690000	185150000	1	184690000	185150000	255,255,0	1.1866	0.057921	0.043838	0.80907	0.56711
1	220450000	220970000	1	220450000	220970000	255,255,0	1.1745	0.046616	0.055128	0.56254	0.83834
1	64730000	65120000	1	64730000	65120000	255,255,0	1.1652	0.045758	0.055777	0.79737	0.57105
1	48720000	48970000	1	48720000	48970000	255,255,0	0.9331	0.042831	0.058688	0.66026	0.58333
1	84900000	85240000	1	84900000	85240000	255,255,0	1.48	0.044947	0.056542	0.76817	0.85121
1	33350000	33560000	1	33350000	33560000	255,255,0	1.4285	0.05105	0.050208	0.80909	0.80909
1	12370000	12700000	1	12370000	12700000	255,255,0	1.6541	0.048662	0.052439	0.85662	0.88603
1	202140000	202700000	1	202140000	202700000	255,255,0	1.3623	0.058032	0.043046	0.87883	0.8176
1	29210000	29370000	1	29210000	29370000	255,255,0	1.1771	0.063206	0.037846	0.67188	0.67188
1	153770000	153960000	1	153770000	153960000	255,255,0	1.2401	0.043823	0.057224	0.74444	0.76667
1	211380000	211840000	1	211380000	211840000	255,255,0	1.1112	0.048672	0.05219	0.68809	0.73724
1	152920000	153190000	1	152920000	153190000	255,255,0	1.2386	0.043224	0.057056	0.75275	0.81868
1	70990000	71540000	1	70990000	71540000	255,255,0	1.8994	0.043403	0.056804	0.91667	0.95899
1	203000000	203210000	1	203000000	203210000	255,255,0	1.3073	0.056233	0.043722	0.80909	0.77273
1	27290000	27630000	1	27290000	27630000	255,255,0	1.2073	0.048406	0.051266	0.82805	0.67426
1	245290000	245900000	1	245290000	245900000	255,255,0	1.2775	0.058419	0.041207	0.79032	0.66344
1	236260000	236690000	1	236260000	236690000	255,255,0	1.7923	0.050019	0.049553	0.95346	0.87162
1	208280000	208430000	1	208280000	208430000	255,255,0	0.87152	0.027677	0.071772	0.51786	0.625
1	26150000	26350000	1	26150000	26350000	255,255,0	1.2287	0.052206	0.047123	0.77	0.67
1	221030000	221390000	1	221030000	221390000	255,255,0	1.2857	0.055137	0.044134	0.87346	0.64506
1	204350000	204490000	1	204350000	204490000	255,255,0	0.81393	0.046861	0.052377	0.53061	0.57143
1	43380000	43550000	1	43380000	43550000	255,255,0	1.0677	0.034266	0.064939	0.625	0.65278
1	220010000	220180000	1	220010000	220180000	255,255,0	1.0986	0.079172	0.019959	0.70833	0.56944
1	66170000	66420000	1	66170000	66420000	255,255,0	1.2971	0.058306	0.040629	0.8141	0.66026
1	15440000	15630000	1	15440000	15630000	255,255,0	1.3769	0.063528	0.035303	0.76667	0.74444
